"","species","common_name","category","thousand_tons_2020","f","c","b","rank_F","rank_C","rank_B"
"1","Carassius carassius","Crucian carp","finfish_inland",2748.6,47.6271269889308,48.331630864829,44.9540048190015,39,15,43
"2","Catla catla","Catla","finfish_inland",3540.3,51.1916855197312,43.2969946965233,47.7099969014146,26,35,40
"3","Chanos chanos","Milkfish","finfish_marine",1167.8,56.626341869012,47.6959254709641,44.1425510772516,9,23,45
"4","Clarias gariepinus","African sharptooth catfish","finfish_inland",1249,45.9049321627811,40.0638044552592,45.2683271253143,46,45,42
"5","Crassostrea virginica","Eastern oyster","mollusc",5450.3,50.5967916295908,41.9151025330263,67.6645602588794,30,38,5
"6","Ctenopharyngodon idellus","Grass carp","finfish_inland",5791.5,51.4898278838688,49.1878338397775,53.9960542658823,22,13,24
"7","Cyprinus carpio","Common carp","finfish_inland",4236.3,50.1970138945943,54.6480155770049,32.0547633126895,32,6,55
"8","Dicentrarchus labrax","European seabass","finfish_marine",243.9,39.3151219820649,42.4590188989405,50,54,37,31
"9","Epinephelus coioides","Orange-spotted grouper","finfish_marine",226.2,43.5897732963591,37.481725257741,39.7511739911634,49,48,48
"10","Eriocheir sinensis","Chinese mitten crab","crustacean",775.9,42.9305916202341,47.8415578863445,51.6515987601605,51,21,29
"11","Eucheuma cottonii","Elkhorn sea moss","algae",8129.4,56.9152439759673,54.6425590974688,66.852203550276,4.5,7,7.5
"12","Eucheuma denticulatum","Spiny eucheuma","algae",154.1,51.3526772832792,67.7744392253542,63.8915608608653,23,2,17
"13","Gracilaria gracilis","Ogonori","algae",5180.4,52.8382387973007,54.2041219499413,65.9426833884001,19,8,14
"14","Hypophthalmichthys molitrix","Silver carp","finfish_inland",4896.6,55.4412449535769,51.9157280616001,48.9986243598081,14,10,36
"15","Hypophthalmichthys nobilis","Bighead carp","finfish_inland",3187.2,55.611575364629,51.9076056582229,54.7156397466112,13,11,23
"16","Kappaphycus alvarezii","Elkhorn sea moss","algae",1604.1,56.9152439759673,54.0028578385901,66.852203550276,4.5,9,7.5
"17","Labeo rohita","Roho labeo","finfish_inland",2484.8,52.4876937287114,43.2734204793028,55.027833177458,20,36,22
"18","Laminaria japonica","Japanese kelp","algae",12469.8,56.1843318577541,68.3677945853176,65.518129109283,11,1,15
"19","Larimichthys croceus","Large yellow croaker","finfish_marine",254.1,45.2850896512356,41.200817425573,49.683257918552,48,41,34
"20","Lateolabrax japonicus","Japanese seabass","finfish_marine",196.9,50.7753295780716,45.3041576350993,40.0854433838372,28,28,47
"21","Lates calcarifer","Barramundi or Giant seaperch","finfish_marine",105.8,46.9709534547838,29.2007248005829,31.0958352062118,44,56,57
"22","Macrobrachium nipponense","Oriental river prawn","crustacean",228.8,53.8869985052924,37.8378557155528,53.7359237604691,18,46,25
"23","Macrobrachium rosenbergii","Giant river prawn","crustacean",294,45.9994478470163,30.9644940869575,60.1554216615945,45,53,19
"24","Magallana gigas","Pacific cupped oyster","mollusc",610.3,50.3928895291008,45.0348594560031,53.4220935052412,31,30,27
"25","Megalobrama amblycephala","Wuchang bream","finfish_inland",781.7,30.1749049188462,37.498468373034,49.2552135054618,57,47,35
"26","Micropterus salmoides","Largemouth black bass","finfish_inland",621.3,47.4369403108087,41.3358206318219,43.7882999755572,41,40,46
"27","Mizuhopecten yessoensis","Yesso scallop or giant Ezo scallop","mollusc",1746.4,58.303921694198,47.7896491652308,64.7619047619048,2,22,16
"28","Mugil cephalus","Flathead grey mullet","finfish_marine",291.2,56.8202085365136,43.9912549198038,33.9085237231943,7,34,52
"29","Mylopharyngodon piceus","Black carp","finfish_inland",695.5,51.218005194193,48.0912163151029,45.5723779442545,25,19,41
"30","Mytilus chilensis","Chilean mussel","mollusc",399.1,56.292677046526,48.2540950468467,71.3033953997809,10,18,3
"31","Mytilus edulis","Blue mussel","mollusc",1108.3,50.1872827739149,46.4943204593765,60.9436730621417,33,27,18
"32","Mytilus galloprovincialis","Mediterranean mussel","mollusc",1108.3,51.3225997746134,48.685309919539,71.5718342806663,24,14,1
"33","Oncorhynchus kisutch","Coho salmon","finfish_marine",221.9,42.6252169139063,40.1214904973177,47.8571519401312,52,44,39
"34","Oncorhynchus mykiss","Rainbow trout","finfish_inland",739.5,49.8085253571945,48.3235326674014,48.2197894318698,34.5,16.5,37.5
"35","Oncorhynchus mykiss","Rainbow trout","finfish_marine",220.1,49.8085253571945,48.3235326674014,48.2197894318698,34.5,16.5,37.5
"36","Oreochromis niloticus","Nile tilapia","finfish_inland",4407.2,49.5505560393016,47.205985445498,49.8106175486993,36.5,24.5,32.5
"37","Oreochromis niloticus","Nile tilapia","finfish_marine",107.4,49.5505560393016,47.205985445498,49.8106175486993,36.5,24.5,32.5
"38","Pangasianodon hypophthalmus","Striped catfish","finfish_inland",2520.4,47.025001551725,40.7110459853603,52.0861657612711,43,43,28
"39","Penaeus monodon","Giant tiger prawn","crustacean",717.1,43.1892371829013,33.3162533361375,33.3402782346021,50,51,53
"40","Penaeus vannamei","Whiteleg shrimp","crustacean",5812.2,50.8002475061983,27.957376809423,56.3799351516307,27,57,21
"41","Perna canaliculus","New Zealand green-lipped mussel","mollusc",1108.3,51.5849086183878,41.8103394911299,71.3033953997809,21,39,3
"42","Porphrya tenera","Nori (tenera)","algae",2220.2,56.8100374426931,56.5996169694551,66.131302564188,8,5,12
"43","Porphyra haitanensis","Nori (haitanensis)","algae",2220.2,56.892821159495,50.671656779065,66.0003221965476,6,12,13
