,species,high,low,med,vhigh,final
32,Mytilus galloprovincialis,0.432761254,0.125,0.4375,0.979242902,71.57183428
30,Mytilus chilensis,0.234375,0.125,0.4375,0.986328125,71.3033954
39,Perna canaliculus,0.234375,0.125,0.4375,0.986328125,71.3033954
51,Sinonovacula constricta,0.234375,0.125,0.4375,0.986328125,71.3033954
5,Crassostrea virginica,0.712558992,0.125,0.625573847,0.925330529,67.66456026
46,Sargassum fusiforme,0.609261441,0.125,0.671875,0.953125,66.88702673
16,Kappaphycus alvarezii,0.6171875,0.125,0.671875,0.948698253,66.85220355
42,Porphyra yezoensis,0.586274719,0.125,0.671875,0.953125,66.80720279
55,Undaria pinnatifida,0.774961241,0.125,0.671875,0.90625,66.80315048
44,Ruditapes philippinarum,0.79543457,0.125,0.667773438,0.883608886,66.63633449
40,Porphrya tenera,0.344455134,0.125,0.671875,0.9698229,66.13130256
41,Porphyra haitanensis,0.756667753,0.125,0.716382998,0.90625,66.0003222
13,Gracilaria gracilis,0.75339841,0.125,0.719185292,0.90625,65.94268339
18,Laminaria japonica,0.729354697,0.125,0.739794188,0.90625,65.51812911
27,Mizuhopecten yessoensis,0.234375,0.125,0.71875,0.97265625,64.76190476
12,Eucheuma denticulatum,0.617171942,0.125,0.812326482,0.90625,63.89156086
31,Mytilus edulis,0.688811894,0.319593558,0.695240606,0.890625,60.94367306
23,Macrobrachium rosenbergii,0.904197455,0.75,0,0.795444138,60.15542166
53,Tegillarca granosa,0.585082526,0.319593558,0.783282209,0.890625,59.15098616
38,Penaeus vannamei,0.75,0.8345,0.162,0.875,56.37993515
17,Labeo rohita,0.779199979,0.75,0.371006,0.819375,55.02783318
15,Hypophthalmichthys nobilis,0.871225538,0.75,0.356673898,0.75,54.71563975
6,Ctenopharyngodon idellus,0.833057935,0.821501202,0.213995191,0.71875,53.99605427
22,Macrobrachium nipponense,0.568888548,0.776666667,0.393333333,0.884937328,53.73592376
43,Procambarus clarkii,0.874259467,0.821501202,0.213995191,0.675,53.55219111
24,Magallana gigas,0.586311819,0.780578988,0.4375,0.890625,53.42209351
36,Pangasianodon hypophthalmus,0.36,0.75,0.51,0.931455168,52.08616576
10,Eriocheir sinensis,0.544375,0.75,0.610711503,0.875,51.65159876
50,Seriola quinqueradiata,0.677403846,0.859375,0.4375,0.745000463,50.10255265
8,Dicentrarchus labrax,0.625705407,0.75,0.75,0.812147296,50
35,Oreochromis niloticus,0.90417988,0.968138179,0.837201897,0.920898438,49.81061755
19,Larimichthys croceus,0.45,0.7975,0.64,0.875,49.68325792
25,Megalobrama amblycephala,0.19,0.75,0.64,0.9375,49.25521351
14,Hypophthalmichthys molitrix,0.697009903,0.821501202,0.605369125,0.71875,48.99862436
34,Oncorhynchus mykiss,0.51,0.98499375,0.737856,0.984375,48.21978943
33,Oncorhynchus kisutch,0.462651037,0.947025498,0.2775,0.75,47.85715194
2,Catla catla,0.8838125,0.75,0.637681713,0.5,47.7099969
29,Mylopharyngodon piceus,0.3678125,0.75,0.848967502,0.75,45.57237794
4,Clarias gariepinus,0.56280788,0.819375,0.758348004,0.652802286,45.26832713
1,Carassius carassius,0.809694471,0.75,0.71974088,0.431441749,44.95400482
48,Scylla paramamosain,0.75,0.9375,0.427738959,0.5,44.71617156
3,Chanos chanos,0.730775,0.90443246,0.551369595,0.5,44.14255108
26,Micropterus salmoides,0.723582001,0.871034619,0.667912968,0.5,43.78829998
20,Lateolabrax japonicus,0.500945262,0.895252511,0.766365685,0.5,40.08544338
9,Epinephelus coioides,0.127500385,0.951648027,0.543065781,0.686249808,39.75117399
52,Sparus aurata,0.3,0.949375,0.64,0.6,39.5681647
54,Trachinotus ovatus,0.3,0.89875,0.819999995,0.6,39.33174227
45,Salmo salar,0.15,0.9375,0.810920669,0.5,33.9902911
28,Mugil cephalus,0.875,0.921335819,0.529145391,0,33.90852372
37,Penaeus monodon,0.604267852,0.85,0.849837507,0.153818331,33.34027823
47,Sciaenops ocellatus,0,0.859375,0.902684049,0.5,32.08010916
7,Cyprinus carpio,0.747880779,0.821501202,0.81999781,0,32.05476331
49,Scylla serrata,0,0.875,0.891040124,0.5,31.89528832
21,Lates calcarifer,0,0.95484375,0.780929657,0.5,31.09583521
