,species,high,low,med,vhigh,final
32,Mytilus galloprovincialis,0.710592477,0.234375,0.4375,0.981837539,68.69489705
30,Mytilus chilensis,0.609375,0.234375,0.4375,0.988037109,68.49919311
39,Perna canaliculus,0.609375,0.234375,0.4375,0.988037109,68.49919311
51,Sinonovacula constricta,0.609375,0.234375,0.4375,0.988037109,68.49919311
5,Crassostrea virginica,0.853346425,0.234375,0.625573847,0.934664213,65.37363972
44,Ruditapes philippinarum,0.895629883,0.234375,0.667773438,0.898157776,64.42376545
46,Sargassum fusiforme,0.800643592,0.234375,0.71875,0.952148438,64.01965074
16,Kappaphycus alvarezii,0.8046875,0.234375,0.71875,0.947629467,63.97596448
42,Porphyra yezoensis,0.788915673,0.234375,0.71875,0.952148438,63.97185281
23,Macrobrachium rosenbergii,0.904197455,0.609375,0,0.795444138,63.81904028
55,Undaria pinnatifida,0.885184306,0.234375,0.71875,0.904296875,63.73035315
40,Porphrya tenera,0.665538334,0.234375,0.71875,0.96919421,63.68339186
27,Mizuhopecten yessoensis,0.609375,0.234375,0.71875,0.976074219,63.53144836
41,Porphyra haitanensis,0.875850894,0.234375,0.756899712,0.904296875,63.15926155
13,Gracilaria gracilis,0.874182862,0.234375,0.759301678,0.904296875,63.11907335
18,Laminaria japonica,0.861915662,0.234375,0.776966447,0.904296875,62.82416987
12,Eucheuma denticulatum,0.804679562,0.234375,0.839136985,0.904296875,61.72858724
31,Mytilus edulis,0.841230558,0.404644363,0.695240606,0.904296875,60.06264482
53,Tegillarca granosa,0.788307411,0.404644363,0.783282209,0.904296875,58.71653764
38,Penaeus vannamei,0.75,0.74140625,0.162,0.875,58.45579602
17,Labeo rohita,0.779199979,0.609375,0.371006,0.819375,58.02838422
15,Hypophthalmichthys nobilis,0.871225538,0.609375,0.356673898,0.75,57.68957507
22,Macrobrachium nipponense,0.568888548,0.651041667,0.393333333,0.884937328,56.43809855
6,Ctenopharyngodon idellus,0.833057935,0.721095629,0.213995191,0.71875,56.17608061
43,Procambarus clarkii,0.874259467,0.721095629,0.213995191,0.675,55.71651492
36,Pangasianodon hypophthalmus,0.36,0.609375,0.51,0.931455168,55.12437938
24,Magallana gigas,0.788934602,0.808006614,0.4375,0.904296875,54.62796536
10,Eriocheir sinensis,0.544375,0.609375,0.610711503,0.875,54.40348814
8,Dicentrarchus labrax,0.625705407,0.609375,0.75,0.812147296,52.51364949
25,Megalobrama amblycephala,0.19,0.609375,0.64,0.9375,52.16933999
19,Larimichthys croceus,0.45,0.68359375,0.64,0.875,51.81995163
50,Seriola quinqueradiata,0.677403846,0.780273438,0.4375,0.745000463,51.60365999
14,Hypophthalmichthys molitrix,0.697009903,0.721095629,0.605369125,0.71875,50.79269144
35,Oreochromis niloticus,0.90417988,0.922212352,0.837201897,0.920898438,50.44880937
2,Catla catla,0.8838125,0.609375,0.637681713,0.5,50.26018764
34,Oncorhynchus mykiss,0.51,0.963363647,0.737856,0.984375,48.54617594
33,Oncorhynchus kisutch,0.462651037,0.917227341,0.2775,0.75,48.44952036
29,Mylopharyngodon piceus,0.3678125,0.609375,0.848967502,0.75,48.06004489
1,Carassius carassius,0.809694471,0.609375,0.71974088,0.431441749,47.41355224
4,Clarias gariepinus,0.56280788,0.717773438,0.758348004,0.652802286,46.97701634
48,Scylla paramamosain,0.75,0.90234375,0.427738959,0.5,45.32547486
3,Chanos chanos,0.730775,0.850675719,0.551369595,0.5,45.0438506
26,Micropterus salmoides,0.723582001,0.798491592,0.667912968,0.5,44.96917421
20,Lateolabrax japonicus,0.500945262,0.836332049,0.766365685,0.5,40.9925773
9,Epinephelus coioides,0.127500385,0.924450043,0.543065781,0.686249808,40.22510023
54,Trachinotus ovatus,0.3,0.841796875,0.819999995,0.6,40.20615416
52,Sparus aurata,0.3,0.920898438,0.64,0.6,40.02603216
28,Mugil cephalus,0.875,0.877087217,0.529145391,0,34.56624042
37,Penaeus monodon,0.604267852,0.765625,0.849837507,0.153818331,34.52545973
45,Salmo salar,0.15,0.90234375,0.810920669,0.5,34.4959354
7,Cyprinus carpio,0.747880779,0.721095629,0.81999781,0,33.46084158
47,Sciaenops ocellatus,0,0.780273438,0.902684049,0.5,33.24256275
49,Scylla serrata,0,0.8046875,0.891040124,0.5,32.91665246
21,Lates calcarifer,0,0.929443359,0.780929657,0.5,31.45317144
