,species,high,low,med,vhigh,final
18,Laminaria japonica,0.84750024,0,0.815373213,0.940185547,68.36779459
12,Eucheuma denticulatum,0.818224256,0,0.834767718,0.924563956,67.77443923
42,Porphyra yezoensis,0.883295536,0,0.924616715,0.760742188,64.40601716
46,Sargassum fusiforme,0.881604408,0.6565,0.46646875,0.904147339,57.82500705
40,Porphrya tenera,0.923530882,0.5,0.741627813,0.800491583,56.59961697
7,Cyprinus carpio,0.906333312,0.875,0.3,0.84375,54.64801558
13,Gracilaria gracilis,0.749457728,0.875,0.34375,0.9145341,54.20412195
16,Kappaphycus alvarezii,0.703310926,0.83925,0.43759375,0.940185547,54.00285784
14,Hypophthalmichthys molitrix,0.72152934,0.951296875,0.27925,0.837020211,51.91572806
15,Hypophthalmichthys nobilis,0.767832225,0.9193125,0.38901541,0.841207846,51.90760566
41,Porphyra haitanensis,0.668637021,0.75,0.826667969,0.870875549,50.67165678
6,Ctenopharyngodon idellus,0.605450195,0.875,0.746199688,0.894674072,49.18783384
32,Mytilus galloprovincialis,0.508050569,0.931640625,0.551917969,0.878118281,48.68530992
1,Carassius carassius,0.64890625,0.912554688,0.719846875,0.84375,48.33163086
34,Oncorhynchus mykiss,0.966539474,0.99234375,0.920232582,0.844345093,48.32353267
30,Mytilus chilensis,0.591369691,0.982910156,0.234375,0.716248003,48.25409505
29,Mylopharyngodon piceus,0.610831628,0.802953125,0.874720819,0.816367114,48.09121632
55,Undaria pinnatifida,0.74577368,0.875,0.769475781,0.760742188,47.99890198
10,Eriocheir sinensis,0.7046875,0.96715332,0.443511719,0.714407946,47.84155789
27,Mizuhopecten yessoensis,0.852637007,0.790957031,0.819808769,0.637462891,47.78964917
3,Chanos chanos,0.789661764,0.7801875,0.894798058,0.6875,47.69592547
35,Oreochromis niloticus,0.968122732,0.984375,0.974214482,0.780273438,47.20598545
44,Ruditapes philippinarum,0.853682246,0.7265625,0.889365775,0.5625,47.00036883
31,Mytilus edulis,0.125,0.940298919,0.465917597,0.937656187,46.49432046
20,Lateolabrax japonicus,0.842861839,0.9375,0.65,0.560204517,45.30415764
51,Sinonovacula constricta,0.749707446,0.973656006,0.441667969,0.5625,45.28628222
24,Magallana gigas,0.721465925,0.931640625,0.766654018,0.649453125,45.03485946
53,Tegillarca granosa,0.648766216,0.96385498,0.585573992,0.649453125,45.03439834
45,Salmo salar,0.229475,0.980974609,0.447998463,0.83796875,44.94740645
54,Trachinotus ovatus,0.547197011,0.974480446,0.6205375,0.6875,44.28121392
28,Mugil cephalus,0.5625,0.884122005,0.898034116,0.6875,43.99125492
2,Catla catla,0.43125,0.984375,0.5484375,0.6875,43.2969947
17,Labeo rohita,0.43125,0.96875,0.734375,0.734375,43.27342048
8,Dicentrarchus labrax,0.47171875,0.957308594,0.816954941,0.6875,42.4590189
5,Crassostrea virginica,0.449132074,0.919335938,0.869188657,0.660705078,41.91510253
39,Perna canaliculus,0.514210938,0.983011536,0.517427054,0.5625,41.81033949
26,Micropterus salmoides,0.771531024,0.7875,0.943942006,0.375,41.33582063
19,Larimichthys croceus,0.741203264,0.9859375,0.4,0.375,41.20081743
50,Seriola quinqueradiata,0.766401152,0.975835938,0.558109375,0.375,40.71727614
36,Pangasianodon hypophthalmus,0.811331496,0.960244531,0.697630625,0.375,40.71104599
33,Oncorhynchus kisutch,0.321593105,0.98586377,0.571474891,0.617570279,40.1214905
4,Clarias gariepinus,0.770024812,0.89375,0.900886994,0.375,40.06380446
22,Macrobrachium nipponense,0.808372766,0.914769531,0.854385977,0.25,37.83785572
25,Megalobrama amblycephala,0.593112128,0.978138672,0.720247094,0.375,37.49846837
9,Epinephelus coioides,0.38859375,0.90625,0.947132571,0.49921875,37.48172526
52,Sparus aurata,0.514210938,0.951079339,0.899995128,0.375,35.96913604
43,Procambarus clarkii,0.964565298,0.890625,0.628419798,0,35.45358929
37,Penaeus monodon,0.125,0.91884375,0.954746109,0.5,33.31625334
48,Scylla paramamosain,0.773951182,0.993164063,0.25,0,31.87539176
23,Macrobrachium rosenbergii,0.78125,0.9453125,0.860360594,0,30.96449409
49,Scylla serrata,0.767851563,0.954964844,0.84815281,0,30.64707541
47,Sciaenops ocellatus,0.125,0.994140625,0.593845568,0.375,29.56012804
21,Lates calcarifer,0.125,0.98671875,0.824080388,0.375,29.2007248
38,Penaeus vannamei,0.62658459,0.96151812,0.877351289,0,27.95737681
