,species,high,low,med,vhigh,final
42,Porphyra yezoensis,0.945685748,0.5,0.549309394,0.963092672,61.17750538
27,Mizuhopecten yessoensis,0.936844432,0.75,0.360022266,0.961156738,58.30392169
44,Ruditapes philippinarum,0.901235516,0.5,0.809381967,0.953125,57.88704796
16,Kappaphycus alvarezii,0.889759443,0.96875,0,0.90625,56.91524398
41,Porphyra haitanensis,0.783599688,0.96875,0,0.949404297,56.89282116
28,Mugil cephalus,0.919061086,0.4383375,0.92973081,0.875,56.82020854
40,Porphrya tenera,0.950060984,0.716666667,0.514973069,0.921825273,56.81003744
3,Chanos chanos,0.912893447,0.560375,0.812740543,0.9375,56.62634187
30,Mytilus chilensis,0.649745449,0.96875,0,0.969598,56.29267705
18,Laminaria japonica,0.919326081,0.75,0.542621671,0.953125,56.18433186
48,Scylla paramamosain,0.870829247,0.984375,0,0.875,55.97097495
15,Hypophthalmichthys nobilis,0.936596559,0.67725,0.683420924,0.910696855,55.61157536
14,Hypophthalmichthys molitrix,0.877870164,0.8051875,0.50989,0.96484375,55.44124495
53,Tegillarca granosa,0.839435984,0.875,0.458708887,0.962441406,54.4298726
51,Sinonovacula constricta,0.785463525,0.951828125,0.27075,0.953125,54.36742791
46,Sargassum fusiforme,0.92268043,0.75,0.726511914,0.924882813,54.10591003
22,Macrobrachium nipponense,0.900353838,0.951296875,0.27925,0.874375,53.88699851
13,Gracilaria gracilis,0.705409434,0.98984375,0.15,0.866045283,52.8382388
17,Labeo rohita,0.848797434,0.9375,0.4773964,0.9096875,52.48769373
39,Perna canaliculus,0.583609375,0.96893538,0.369700642,0.953125,51.58490862
6,Ctenopharyngodon idellus,0.824143516,0.875,0.746199688,0.936804443,51.48982788
12,Eucheuma denticulatum,0.88128931,0.904166667,0.656642458,0.881765547,51.35267728
32,Mytilus galloprovincialis,0.4759375,0.9375,0.41475,0.981220703,51.32259977
29,Mylopharyngodon piceus,0.843431408,0.802953125,0.857494932,0.892726563,51.21800519
2,Catla catla,0.884930116,0.9375,0.602625,0.875,51.19168552
38,Penaeus vannamei,0.821187364,0.888765625,0.769430223,0.91725,50.80024751
20,Lateolabrax japonicus,0.904888119,0.875,0.755,0.852584088,50.77532958
55,Undaria pinnatifida,0.881683083,0.917395105,0.67171788,0.85237069,50.60120645
5,Crassostrea virginica,0.592486328,0.92625,0.593845568,0.963646973,50.59679163
24,Magallana gigas,0.531226094,0.875,0.695221575,0.981220703,50.39288953
7,Cyprinus carpio,0.920858853,0.75,0.894730169,0.75,50.19701389
31,Mytilus edulis,0.4375,0.945416154,0.476817238,0.975695313,50.18728277
34,Oncorhynchus mykiss,0.968122944,0.98499375,0.978245374,0.975095215,49.80852536
35,Oreochromis niloticus,0.933138646,0.993398438,0.976605222,0.980224609,49.55055604
50,Seriola quinqueradiata,0.861175541,0.855015625,0.908860059,0.75,48.09102329
1,Carassius carassius,0.828936984,0.864104806,0.919922898,0.75,47.62712699
45,Salmo salar,0.741167904,0.961949219,0.765399347,0.817406376,47.61621664
26,Micropterus salmoides,0.705794477,0.78325,0.968098425,0.75,47.43694031
47,Sciaenops ocellatus,0.848706897,0.9296875,0.847692088,0.75,47.34633434
36,Pangasianodon hypophthalmus,0.754660514,0.980122266,0.669812643,0.75,47.02500155
21,Lates calcarifer,0.431034483,0.95484375,0.771304505,0.9375,46.97095345
23,Macrobrachium rosenbergii,0.75,0.96875,0.842348963,0.75,45.99944785
4,Clarias gariepinus,0.728296002,0.937287413,0.896200342,0.75,45.90493216
49,Scylla serrata,0.69966625,0.96875,0.8264176,0.75,45.65269459
19,Larimichthys croceus,0.704232301,0.95865625,0.8647,0.731558387,45.28508965
9,Epinephelus coioides,0.427025,0.955878879,0.906786829,0.7996875,43.5897733
37,Penaeus monodon,0.1,0.894227291,0.940668217,0.925,43.18923718
10,Eriocheir sinensis,0.726625,0.995307617,0.449076602,0.4815,42.93059162
33,Oncorhynchus kisutch,0.224677834,0.9816229,0.796022048,0.847028112,42.62521691
54,Trachinotus ovatus,0,0.946102701,0.877813075,0.9375,41.89710505
8,Dicentrarchus labrax,0,0.935842431,0.961013651,0.832988195,39.31512198
52,Sparus aurata,0.4448125,0.97426877,0.92658608,0.5,37.43430851
43,Procambarus clarkii,0.921803673,0.98984375,0.578875772,0,33.57012292
25,Megalobrama amblycephala,0.761880398,0.989069336,0.832148256,0,30.17490492
