species,common_name,category,thousand_tons_2020,actual_number?,agg_trophic,feed_eff_trophic,growth_rate_K,age_mat_years,max_size_cm,abs_fecundity,rep_freq_year,temp_range_c,pO2_min_mbar,sal_range,Ca_mg_100g,Fe_mg_100g,Se_ug_100g,Zn_mg_100g,A_ug_100g,Omega_g_100g,Protein_g_100g,c_seq,OA_buff,bioremed,structure,spatial,P_range_µmol/kg,N_range_µmol/kg,lat_range_degrees,geog_range_km2,PH_sensitivity_taxa,References,,,,
Ctenopharyngodon idellus,Grass carp,finfish_inland,5791.5,actual,2.00,2,0.13,4.6,150,"273,861",once_year,18.6195,107.2882101,28.472,23.6,0.812,34.8,0.493,15.6,0.296,17.3,fish,fish,fish,fish,0,2.1845,16.12161,103.334367,vhigh,fish,1,,,,
Hypophthalmichthys molitrix,Silver carp,finfish_inland,4896.6,actual,2,2,0.2,3,120,"100,000",,17.438,107.2882101,19.0125,37.9,1.37,30.1,0.445,8.45,0.306,17.3,fish,fish,fish,fish,112,2.1845,14.234,90.811986,vhigh,fish,1,,,,
Oreochromis niloticus,Nile tilapia,finfish_inland,4407.2,actual,2,2,0.54,1.3,60,182,several_year,11.6005,183.3303289,4.5695,40.6,3.21,279,5.76,0.877,0.144,17.7,fish,fish,fish,fish,0,1.1045,11.6905,79.38398379,vhigh,fish,1,,,,
Cyprinus carpio,Common carp,finfish_inland,4236.3,actual,3.1,3.1,0.33,2,120,"281,936",year_round,16.7465,107.2882101,5.4095,37.3,0.673,3.18,0.869,11.3,0.368,18,fish,fish,fish,fish,1,1.4995,24.219,124.2043,vhigh,fish,1,,,,
Catla catla,Catla,finfish_inland,3540.3,actual,2.8,2.8,0.32,1.9,182,"2,383,612",,2.73243,215.053648,2.9375,186,0.937,132,1.25,4.54,0.41,17.2,fish,fish,fish,fish,0,0.769,2.103,22.925424,med,fish,1,,,,
Hypophthalmichthys nobilis,Bighead carp,finfish_inland,3187.2,actual,2.8,2.8,0.17,3.4,146,"1,023,750",,15.412,202.9921912,18.2825,15.1,0.422,14.3,0.271,10.6,0.543,17.1,fish,fish,fish,fish,112,2.1845,13.164,45.03338566,vhigh,fish,1,,,,
Carassius carassius,Crucian carp,finfish_inland,2748.6,proxy for Carassius spp.,3.1,3.1,0.3,2.2,64,"54,772",once_year,17.025,107.2882101,28.472,62.5,0.784,10.7,0.557,17.6,0.677,18,fish,fish,fish,fish,40,2.1845,13.5965,103.5926894,high,fish,1,,,,
Pangasianodon hypophthalmus,Striped catfish,finfish_inland,2520.4,actual,3.1,3.1,,,130,,once_year,9.0887,188.8155625,5.2865,80.1,0.463,134,0.6,8.53,0.245,15.8,fish,fish,fish,fish,1,0.769,4.7295,58.51465,med,fish,1,,,,
Labeo rohita,Roho labeo,finfish_inland,2484.8,actual,2.2,2.2,0.28,2.2,200,"882,466",once_year,2.7045,215.053648,2.9375,101,0.621,366,0.912,3.39,0.188,16.7,fish,fish,fish,fish,0.6,0.769,2.103,24.663522,med,fish,1,,,,
Clarias gariepinus,African sharptooth catfish,finfish_inland,1249,proxy for Clarias spp.,3.8,3.8,0.09,6.5,170,"53,981",once_year,11.27189,186.8665359,5.3995,6.69,0.989,81.1,0.371,23.9,0.291,17.2,fish,fish,fish,fish,0,1.016,7.693,79.780212,high,fish,1,,,,
